Last_name,First_name,Family_affiliation,Hogwarts_house,Pure_blood,Member_of,Occupation_records,General_info
Abbott,Hannah,,Hufflepuff,TRUE,Dumbledore's Army,Student,Hufflepuff student in Harry Potter's year. Prefect and member of Dumbledore's Army.
Avery,I,Avary family,Slytherin,TRUE,Slug club,,"Member of Tom Riddle's gang when they attended Hogwarts, and was a member of the Slug Club"
Avery,II,Avary family,Slytherin,TRUE,Death Eater,,"School friend of Severus Snape. After graduating from Hogwarts, he became a Death Eater. He participated in the First Wizarding War, but like most Death Eaters, didn't search for Lord Voldemort after his downfall, although he was forgiven after his master's return. During the Second Wizarding War, he fought at the Battle of the Department of Mysteries with a group of Death Eaters, attempting to take a prophecy from Harry Potter."
Bagman,Ludo,,,,,Ministry of magic,Head of the Department of Magical Games and Sports within the Ministry of Magic.
Bagshot,Bathilda,,,,,,"Author of A History of Magic, and the great aunt of Gellert Grindelwald. She lived in Godric's Hollow, and was murdered around December, 1997, after which her corpse was animated by Lord Voldemort to contain his pet snake Nagini."
Barebone,Credence,,,TRUE,,,"Alegedly a member of the Dumbledore family, he was adopted by Barebone, leader of an ani-witchcraft society. Due to the repression of his magic, Credence developed a dark parasitic force known as an Obscurus and became an Obscurial. Grindelwald wanted to use this Obscurus force, in his battle against Albus Dumbledore."
Bell,Katie,,,FALSE,Dumbledore's Army,Student,Gryffindor Quidditch Chaser one year above Harry Potter. Member of Dumbledore's Army.
Binns,Cuthbert,,,TRUE,,Ghost,History of Magic professor.
Black,Arcturus,Black family,,TRUE,,,Grandfather of Serius Black.
Black,Cedrella,"Black family, Weasley family",,TRUE,,,"Mother of Arthur Weasley. Paternal grandfather of Bill, Charlie, Percy, Fred, George, Ron and Ginny Weasley, great-grandfather to James, Albus and Lily Potter, Victoire, Dominique, Louis, Molly II, Lucy, Fred and Roxanne Weasley and Rose and Hugo Granger-Weasley. "
Black,Irma,"Black family, Crabbe family",,TRUE,,,"Mother of Walburga. Grandmother of Bellatrix, Narcissa and Andromeda. Wife of Pollux."
Black,Phineas Nigellus,Black family,,TRUE,,Headmaster,Great-great-grandfather of Sirius Black and former Hogwarts headmaster. His painting hangs in the office and assists the current headmaster.
Black,Pollux,Black family,,TRUE,,,Husband of Irma. Grandfather of Sirius Black.
Black,Regulus,Black family,,TRUE,"Death Eater, Slug club",,Brother of Sirius Black. He defied Voldemort and found and intended to destroy Salazar Slytherin's locket (horcrux) and died when dragged into the lake and drowned by Voldemort's inferi.
Black,Sirius,Black family,Gryffindor,TRUE,Order of the Phoenix,,Harry's godfather who was a close friend of Harry's father James. Escapee from Azkaban prison and member of the Order of the Phoenix. Killed in the Battle of the Department of Mysteries by his cousin Bellatrix Lestrange.
Black,Walburga,Black family,,TRUE,,,"Mother of Sirius and Regulus Black. Her portrait hangs in Number 12, Grimmauld Place."
Bobbin,Melinda,,,FALSE,,,Her family owned a large chain of apothecaries.
Bones,Amelia,Bones family,,FALSE,,Magical Law Enforcement,"Head of the Department of Magical Law Enforcement, and the aunt of Susan Bones. Killed by Lord Voldemort."
Bones,Susan,"Bones family, McMillan family",Hufflepuff,FALSE,Dumbledore's Army,Student,Hufflepuff student in Harry's year. Member of Dumbledore's Army.
Boot,Terry,,Ravenclaw,FALSE,Dumbledore's Army,Student,Ravenclaw student in Harry's year. Member of Dumbledore's Army.
Brown,Lavender,,Gryffindor,TRUE,Dumbledore's Army,Student,Gryffindor student in Harry's year and member of Dumbledore's Army. Killed in the Battle of Hogwarts.
Bulstrode,Millicent,,Slytherin,TRUE,Inquisitorial Squad,Student,Slytherin student in Harry's year. Member of Dolores Umbridge's Inquisitorial Squad.
Burbage,Charity,,,FALSE,,Professor,Professor of Muggle Studies at Hogwarts. Killed by Lord Voldemort.
Bryce,Frank,,,FALSE,,,Muggle gardener for the Riddle family. Killed by Lord Voldemort.
Carrow,Alecto,,,TRUE,Death Eater,Professor,"Death Eater and sister of Amycus Carrow. Professor of Muggle Studies for one year, and Deputy Headmistress of Hogwarts under Severus Snape."
Carrow,Amycus,,,TRUE,Death Eater,Professor,"Death Eater and brother of Alecto Carrow. Professor of Defence Against the Dark Arts for one year, and Deputy Headmaster of Hogwarts under Snape."
Carrow,Flora,,Slytherin,TRUE,Slug club,,"She and her twin sister Hestia were underage to fight in the battle, they likely departed the school along with most other members of their house before the battle started."
Carrow,Hestia,,Slytherin,TRUE,Slug club,,Hestia and her twin sister Flora were present in the Great Hall prior to the Battle of Hogwarts when classmate Pansy Parkinson urged students to hand over Harry Potter to Lord Voldemort.
Cattermole,Reginald,,,FALSE,,Ministry of magic,Employee of the Magical Maintenance Department for the Ministry of Magic. Impersonated by Ron Weasley.
Cattermole,Mary,,,FALSE,,,Muggle-born wife of Reginald Cattermole. Saved by Harry Potter from the Muggle-born Registration Commission.
Chang,Cho,,Ravenclaw,,Dumbledore's Army,Student,"Ravenclaw Quidditch Seeker one year above Harry, and his first love interest. Member of Dumbledore's Army."
Clearwater,Penelope,,Ravenclaw,FALSE,,,Ravenclaw prefect and girlfriend of Percy Weasley.
Cole,Mrs.,,,FALSE,,,Matron of the orphanage where Tom Riddle lived.
Cooper,Buckley,,,,,Daily Prophet,Wizard who wrote to the Daily Prophet advice page.
Corner,Michael,,Ravenclaw,FALSE,Dumbledore's Army,Student,Ravenclaw student in Harry's year. Member of Dumbledore's Army.
